Model,R2,RMSE,MAE,MAPE
SARIMAX,0.8999147978360122,122308.11572129714,91570.998174396,6.574214011062127
Ridge,0.8828642789681673,132316.8086884962,105247.80330287831,7.029467623480469
Hybrid Model,-0.026181772167919837,391635.8935384743,346770.7229950951,22.843471571388456
CatBoost,-0.3933519742640508,456352.8412138807,408806.26748073485,27.091775171052568
XGBoost,-0.46130199478949474,467347.9356438027,414204.0703125,27.32613554776068
LightGBM,-1.0152199165655906,548822.0648683393,487988.75982987613,32.29973487754384
SVR,-4.771110496085565,928752.5836102293,844460.61683322,56.060800285716425
