Target,Model,Validation,R2,RMSE,MAE,MAPE (%),SMAPE (%),Insights
Arrivals,XGBoost,Walk-Forward,0.8760558337513762,136107.91628754337,107028.3125,7.40490023758679,7.704315410488127,"Excellent generalization. The model successfully captures both trend and seasonality without severe overfitting. Residuals are relatively centered, indicating no severe systemic bias. Walk-Forward evaluation confirms stability across forecasting windows, mitigating data leakage."
Arrivals,LSTM,Walk-Forward,0.6957544323224099,213246.77412391166,167148.5453125,11.054335237702492,11.96288614706531,"Moderate performance. The model captures some dynamics but struggles with high variance. Systematic bias detected: The model consistently overpredicts or underpredicts. Walk-Forward evaluation confirms stability across forecasting windows, mitigating data leakage."
Arrivals,GRU,Walk-Forward,0.5995281665270815,244656.25755817682,198297.4203125,13.310521736196751,14.308072699727143,"Moderate performance. The model captures some dynamics but struggles with high variance. Systematic bias detected: The model consistently overpredicts or underpredicts. Walk-Forward evaluation confirms stability across forecasting windows, mitigating data leakage."
Nights,XGBoost,Walk-Forward,0.48698886751360404,433902.46331591293,315852.6019736842,12.751702286641105,12.843450139410642,"Moderate performance. The model captures some dynamics but struggles with high variance. Residuals are relatively centered, indicating no severe systemic bias. Walk-Forward evaluation confirms stability across forecasting windows, mitigating data leakage."
Nights,LSTM,Walk-Forward,0.2622404306438745,520338.7227750815,395139.5592105263,15.381657797033398,16.25907210977428,"Moderate performance. The model captures some dynamics but struggles with high variance. Residuals are relatively centered, indicating no severe systemic bias. Walk-Forward evaluation confirms stability across forecasting windows, mitigating data leakage."
Nights,GRU,Walk-Forward,-0.079237716799192,629342.8147043524,517907.0,21.314164178472012,23.226696152725392,"Model is worse than baseline average. Temporal degradation or structural break (e.g. COVID) likely broke generalization. Residuals are relatively centered, indicating no severe systemic bias. Walk-Forward evaluation confirms stability across forecasting windows, mitigating data leakage."
