Model,Target,Type,R2,RMSE,MAE,MAPE
ARIMA,Arrivals,Statistical,-0.8177637637537649,521241.59009336,385257.6377638282,0.23328328097844458
ARIMA,Nights,Statistical,-1.5173798900321174,961176.4027831309,762820.3296880908,0.26868471061793536
