Target,Model,Type,R2,RMSE,MAE,MAPE
Arrivals,Linear Regression,Machine Learning,0.6361537832525822,233200.38971540856,203040.5729171255,0.1534619316365286
Arrivals,Ridge,Machine Learning,0.7791101885025121,181701.36186851893,152588.09686614663,0.11605973755270675
Arrivals,Decision Tree,Machine Learning,0.6935677988723785,214011.71165654378,161010.96873125358,0.10383006365663339
Arrivals,SVM (RBF),Machine Learning,-4.765202024273696,928277.0326990548,843705.5051519467,0.5599443413978502
Nights,Linear Regression,Machine Learning,-5.827600904287538,1582933.9164833548,1150433.3853934575,0.4225504728849277
Nights,Ridge,Machine Learning,-4.289027153010287,1393210.1161483624,1070005.0124796955,0.39364658682406367
Nights,Decision Tree,Machine Learning,-2.36801962958348,1111772.7572079008,945178.5,0.3531180199282429
Nights,SVM (RBF),Machine Learning,-1.5173705679292233,961174.6231165703,762820.4311343571,0.2686844163060076
