Model,Type,Validation,R2,RMSE,MAE,MAPE
Linear Regression,Machine Learning,Standard,0.8871321662801248,129883.93418893148,103199.22076461026,0.06927084629248513
Ridge,Machine Learning,Standard,0.8492301846117655,150116.1928678141,120097.02174263164,0.07845830575234518
Decision Tree,Machine Learning,Standard,0.7346864129002546,199136.14054320654,147971.58729089246,0.09936237775022992
SVM (RBF),Machine Learning,Standard,-4.767784146775297,928484.8880942131,843958.6883296553,0.5601623589567343
XGBoost,Machine Learning,Walk-Forward,0.6581516284273654,223105.7671338921,158606.9425455729,0.09913562810071619
LSTM,Deep Learning,Walk-Forward,-0.1257993419149699,404878.3311068059,301771.10897499055,0.19436341057454154
GRU,Deep Learning,Walk-Forward,-0.1258527200121513,404887.92934422486,301771.3344117319,0.19436322601036354
LSTM 2 Layers,Deep Learning,Walk-Forward,-0.12235918916647237,404259.25587595755,301283.6103515625,0.19404135656337937
LSTM + CNN,Deep Learning,Walk-Forward,-0.12261740585567593,404305.7563565456,301403.38982953783,0.19412029502947295
