Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
1995-01-01,1469000000.0,109.37567,17.015,334768300.0,15.5,,1995,1,,0,,1363.8791413677545
1995-02-01,1501953424.6575344,109.4047208219178,17.05,336689917.8082192,15.542465753424658,,1995,2,,0,,1363.8791413677545
1995-03-01,1531717808.2191782,109.4309602739726,16.85,338425572.6027397,15.58082191780822,,1995,3,,0,,1363.8791413677545
1995-04-01,1564671232.8767123,109.4600110958904,18.135737704918032,340347190.4109589,15.623287671232877,,1995,4,,0,,1363.8791413677545
1995-05-01,1596561643.8356164,109.48812479452054,19.38,342206820.5479452,15.664383561643836,,1995,5,,0,,1363.8791413677545
1995-06-01,1629515068.4931507,109.51717561643837,17.7,344128438.3561644,15.706849315068492,,1995,6,,0,,1363.8791413677545
1995-07-01,1661405479.4520547,109.54528931506847,16.913114754098363,345988068.4931507,15.747945205479452,,1995,7,,0,,1363.8791413677545
1995-08-01,1694358904.109589,109.57434013698632,16.1,347909686.30136985,15.79041095890411,,1995,8,,0,,1363.8791413677545
1995-09-01,1727312328.7671232,109.60339095890411,16.25,349831304.10958904,15.832876712328767,,1995,9,,0,,1363.8791413677545
1995-10-01,1759202739.7260275,109.63150465753424,16.38770491803279,351690934.24657536,15.873972602739729,,1995,10,,0,,1363.8791413677545
1995-11-01,1792156164.3835616,109.66055547945206,16.53,353612552.0547945,15.916438356164385,,1995,11,,0,,1363.8791413677545
1995-12-01,1824046575.3424656,109.6886691780822,17.18,355472182.1917808,15.957534246575342,,1995,12,,0,,1363.8791413677545
1996-01-01,1857000000.0,109.71772,16.98,357393800.0,16.0,,1996,1,,0,179818.26418130076,1363.8791413677545
1996-02-01,1839382513.6612024,109.68616267759565,16.78,418542358.7431694,16.0,,1996,2,,0,191882.05587374902,1142.624892776522
1996-03-01,1822901639.3442624,109.6566413114754,18.55,475745849.1803279,16.0,,1996,3,,0,205551.40002543543,1337.996736775213
1996-04-01,1805284153.0054648,109.62508398907104,20.8,536894407.9234973,16.0,,1996,4,,0,242965.6968719583,1886.4960086352794
1996-05-01,1788234972.6775956,109.59454464480876,18.95,596070432.5136611,16.0,,1996,5,,0,213536.87309825723,1721.6271614208104
1996-06-01,1770617486.3387978,109.56298732240435,19.36672131147541,657218991.2568307,16.0,,1996,6,,0,259776.4949453716,2170.4652318932895
1996-07-01,1753568306.0109289,109.53244797814207,19.77,716395015.8469946,16.0,,1996,7,,0,427675.403211628,2307.8274591143
1996-08-01,1735950819.672131,109.5008906557377,18.84,777543574.590164,16.0,,1996,8,,0,279566.2887026295,2074.6606738950277
1996-09-01,1718333333.3333333,109.46933333333334,21.045573770491803,838692133.3333334,16.0,,1996,9,,0,203231.35817976104,1563.22934924892
1996-10-01,1701284153.0054646,109.43879398907104,23.18,897868157.9234973,16.0,,1996,10,,0,231926.41759187364,1363.7079817761867
1996-11-01,1683666666.6666667,109.40723666666666,22.3,959016716.6666667,16.0,,1996,11,,0,191651.35650313032,1170.1706341685328
