Modèle,R2,MSE,MAE,RMSE
Ridge Regression,0.7825742995984162,33190025319.37994,127946.26932017636,182181.29794075995
Multiple LR,0.7825742995984162,33190025319.37994,127946.26932017636,182181.29794075995
XGBoost (GridSearch),0.010605849926693778,151030981301.3265,291591.9583333333,388627.0465386146
Simple LR,-0.036597351957429636,158236548365.36823,305278.901921835,397789.57799993735
SVR,-4.742500602104107,876592509663.5975,850843.8095684035,936265.1919534324
