Target,Model,R2,RMSE,MAE,MAPE
Arrivals,XGBoost,0.8760558337513762,136107.91628754337,107028.3125,7.404900237586844
Arrivals,LSTM,0.6957544323224099,213246.77412391166,167148.5453125,11.05433523770257
Arrivals,GRU,0.5995281665270815,244656.25755817682,198297.4203125,13.310521736196845
Nights,XGBoost,0.48698886751360404,433902.46331591293,315852.6019736842,12.751702286641159
Nights,LSTM,0.2622404306438745,520338.7227750815,395139.5592105263,15.381657797033457
Nights,GRU,-0.079237716799192,629342.8147043524,517907.0,21.314164178472105
