Date,Arrivals,lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,is_covid,cdm_event
1996-01-01,171360.0,137600.0,165120.0,165120.0,174293.33333333334,238506.66666666666,229333.33333333334,42037.49437506167,81016.68634711411,63554.717632394,3.77906976744186,0.49999999999999994,0.8660254037844387,1,1996,False,False,False,17.18,355472182.1917808,15.957534246575342,109.6886691780822,0,0
1996-02-01,171360.0,171360.0,137600.0,165120.0,158026.66666666666,212026.66666666666,229853.33333333334,17963.043543156655,70292.31157578093,63004.71401314974,3.77906976744186,0.8660254037844386,0.5000000000000001,1,1996,False,False,False,16.98,357393800.0,16.0,109.71772,0,0
1996-03-01,228480.0,171360.0,171360.0,220160.0,160106.66666666666,185546.66666666666,230373.33333333334,19491.34508784199,40440.79260680565,62445.14295594077,3.77906976744186,1.0,6.123233995736766e-17,1,1996,True,False,False,16.78,418542358.7431694,16.0,109.68616267759565,0,0
1996-04-01,257040.0,228480.0,171360.0,247680.0,190400.0,182346.66666666666,231066.66666666666,32978.247376111554,34924.39987554069,62367.575103112875,3.77906976744186,0.8660254037844387,-0.4999999999999998,2,1996,True,False,False,18.55,475745849.1803279,16.0,109.6566413114754,0,0
1996-05-01,257040.0,257040.0,228480.0,247680.0,218960.0,188493.33333333334,231846.66666666666,43626.1206159797,44768.572309899115,62652.11965264781,3.77906976744186,0.49999999999999994,-0.8660254037844387,2,1996,True,False,False,20.8,536894407.9234973,16.0,109.62508398907104,0,0
1996-06-01,285600.0,257040.0,257040.0,275200.0,247520.0,203813.33333333334,232626.66666666666,16489.12368805598,50527.7027645891,62924.83096135541,3.77906976744186,1.2246467991473532e-16,-1.0,2,1996,False,True,False,18.95,596070432.5136611,16.0,109.59454464480876,0,0
1996-07-01,342720.0,285600.0,257040.0,330240.0,266560.0,228480.0,233493.33333333334,16489.12368805598,47790.02071562638,63632.14586888288,3.77906976744186,-0.4999999999999997,-0.8660254037844388,3,1996,False,True,False,19.36672131147541,657218991.2568307,16.0,109.56298732240435,0,0
1996-08-01,342720.0,342720.0,285600.0,330240.0,295120.0,257040.0,234533.33333333334,43626.1206159797,57119.999999999985,65433.60122824488,3.77906976744186,-0.8660254037844384,-0.5000000000000004,3,1996,False,True,False,19.77,716395015.8469946,16.0,109.53244797814207,0,0
1996-09-01,257040.0,342720.0,342720.0,247680.0,323680.0,285600.0,235573.33333333334,32978.247376111554,47790.02071562638,67169.2079525261,3.77906976744186,-1.0,-1.8369701987210297e-16,3,1996,False,False,True,18.84,777543574.590164,16.0,109.5008906557377,0,0
1996-10-01,228480.0,257040.0,342720.0,220160.0,314160.0,290360.0,236353.33333333334,49467.37106416722,42039.18172372053,67376.60307869672,3.77906976744186,-0.8660254037844386,0.5000000000000001,4,1996,False,False,True,21.045573770491803,838692133.3333334,16.0,109.46933333333334,0,0
