Modèle,R2,MSE,MAE,RMSE
XGBoost (GridSearch),0.8991303630501051,11069123596.541489,46931.963461538464,105209.90255931942
Simple LR,0.7829845948406589,23814602834.899723,113204.60972159721,154319.80700771927
Ridge Regression,0.7814193243152994,23986370806.225258,74931.6887762365,154875.33956774801
Multiple LR,0.6825744772110154,34833300195.116104,67057.38809779275,186636.81361166693
SVR,-0.0010655293103420949,109853851042.18857,278978.7797083352,331442.0779596166
