Model,R2,RMSE,MAE,MAPE
XGBoost,0.48698886751360404,433902.46331591293,315852.6019736842,12.751702286641159
LSTM,0.2622404306438745,520338.7227750815,395139.5592105263,15.381657797033457
GRU,-0.079237716799192,629342.8147043524,517907.0,21.314164178472105
LSTM + CNN,-0.1848786864772134,659425.3896844365,498719.0740131579,19.482920511350347
LSTM 2 Layers,-0.43561532346006526,725851.4747466302,601326.4029605263,24.759237186032692
