Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction
1974-01-01,1469000000.0,102.69609,18.65,-20400000.0,40.0,
1974-02-01,1469000000.0,102.69609,18.65,-18241041.09589041,40.0,
1974-03-01,1469000000.0,102.69609,18.65,-16291013.698630137,40.0,
1974-04-01,1469000000.0,102.69609,18.65,-14132054.794520548,40.0,
1974-05-01,1469000000.0,102.69609,18.65,-12042739.726027396,40.0,
1974-06-01,1469000000.0,102.69609,18.65,-9883780.821917808,40.0,
1974-07-01,1469000000.0,102.69609,18.65,-7794465.7534246575,40.0,
1974-08-01,1469000000.0,102.69609,18.65,-5635506.849315068,40.0,
1974-09-01,1469000000.0,102.69609,18.65,-3476547.94520548,40.0,
1974-10-01,1469000000.0,102.69609,18.65,-1387232.8767123297,40.0,
1974-11-01,1469000000.0,102.69609,18.65,771726.0273972601,40.0,
1974-12-01,1469000000.0,102.69609,18.65,2861041.0958904102,40.0,
1975-01-01,1469000000.0,102.69609,18.65,5020000.0,40.0,
1975-02-01,1469000000.0,102.69609,18.65,7822312.010958904,39.915068493150685,
1975-03-01,1469000000.0,102.69609,18.65,10353432.536986303,39.83835616438356,
1975-04-01,1469000000.0,102.69609,18.65,13155744.547945205,39.75342465753425,
1975-05-01,1469000000.0,102.69609,18.65,15867659.397260275,39.67123287671233,
1975-06-01,1469000000.0,102.69609,18.65,18669971.40821918,39.586301369863016,
1975-07-01,1469000000.0,102.69609,18.65,21381886.257534247,39.50410958904109,
1975-08-01,1469000000.0,102.69609,18.65,24184198.268493153,39.41917808219178,
1975-09-01,1469000000.0,102.69609,18.65,26986510.279452056,39.33424657534247,
1975-10-01,1469000000.0,102.69609,18.65,29698425.128767125,39.25205479452055,
1975-11-01,1469000000.0,102.69609,18.65,32500737.139726028,39.16712328767123,
1975-12-01,1469000000.0,102.69609,18.65,35212651.9890411,39.084931506849315,
1976-01-01,1469000000.0,102.69609,18.65,38014964.0,39.0,
1976-02-01,1469000000.0,102.69609,18.65,35472209.53961749,38.91530054644809,
1976-03-01,1469000000.0,102.69609,18.65,33093503.75409836,38.83606557377049,
1976-04-01,1469000000.0,102.69609,18.65,30550749.293715846,38.75136612021858,
1976-05-01,1469000000.0,102.69609,18.65,28090019.170765027,38.669398907103826,
1976-06-01,1469000000.0,102.69609,18.65,25547264.710382514,38.58469945355191,
1976-07-01,1469000000.0,102.69609,18.65,23086534.58743169,38.50273224043716,
1976-08-01,1469000000.0,102.69609,18.65,20543780.127049178,38.41803278688525,
1976-09-01,1469000000.0,102.69609,18.65,18001025.666666664,38.333333333333336,
1976-10-01,1469000000.0,102.69609,18.65,15540295.543715846,38.25136612021858,
1976-11-01,1469000000.0,102.69609,18.65,12997541.083333332,38.166666666666664,
1976-12-01,1469000000.0,102.69609,18.65,10536810.960382514,38.08469945355191,
1977-01-01,1469000000.0,102.69609,18.65,7994056.5,38.0,
1977-02-01,1469000000.0,102.69609,18.65,8313902.736986302,37.83013698630137,
1977-03-01,1469000000.0,102.69609,18.65,8602796.112328768,37.676712328767124,
1977-04-01,1469000000.0,102.69609,18.65,8922642.349315068,37.50684931506849,
1977-05-01,1469000000.0,102.69609,18.65,9232170.965753425,37.342465753424655,
1977-06-01,1469000000.0,102.69609,18.65,9552017.202739727,37.17260273972603,
1977-07-01,1469000000.0,102.69609,18.65,9861545.819178082,37.00821917808219,
1977-08-01,1469000000.0,102.69609,18.65,10181392.056164384,36.83835616438356,
1977-09-01,1469000000.0,102.69609,18.65,10501238.293150686,36.66849315068493,
1977-10-01,1469000000.0,102.69609,18.65,10810766.909589041,36.50410958904109,
1977-11-01,1469000000.0,102.69609,18.65,11130613.146575343,36.33424657534247,
1977-12-01,1469000000.0,102.69609,18.65,11440141.763013698,36.16986301369863,
1978-01-01,1469000000.0,102.69609,18.65,11759988.0,36.0,
1978-02-01,1469000000.0,102.69609,18.65,11392876.7,35.83013698630137,
1978-03-01,1469000000.0,102.69609,18.65,11061292.3,35.676712328767124,
1978-04-01,1469000000.0,102.69609,18.65,10694181.0,35.50684931506849,
1978-05-01,1469000000.0,102.69609,18.65,10338912.0,35.342465753424655,
1978-06-01,1469000000.0,102.69609,18.65,9971800.7,35.17260273972603,
1978-07-01,1469000000.0,102.69609,18.65,9616531.7,35.00821917808219,
1978-08-01,1469000000.0,102.69609,18.65,9249420.4,34.83835616438356,
1978-09-01,1469000000.0,102.69609,18.65,8882309.1,34.66849315068493,
1978-10-01,1469000000.0,102.69609,18.65,8527040.1,34.50410958904109,
1978-11-01,1469000000.0,102.69609,18.65,8159928.800000001,34.33424657534247,
1978-12-01,1469000000.0,102.69609,18.65,7804659.800000001,34.16986301369863,
1979-01-01,1469000000.0,102.69609,18.65,7437548.5,34.0,
1979-02-01,1469000000.0,102.69609,18.65,14400120.600000001,33.83013698630137,
1979-03-01,1469000000.0,102.69609,18.65,20688895.4,33.676712328767124,
1979-04-01,1469000000.0,102.69609,18.65,27651467.5,33.50684931506849,
1979-05-01,1469000000.0,102.69609,18.65,34389440.5,33.342465753424655,
1979-06-01,1469000000.0,102.69609,18.65,41352012.6,33.17260273972603,
1979-07-01,1469000000.0,102.69609,18.65,48089985.6,33.00821917808219,
1979-08-01,1469000000.0,102.69609,18.65,55052557.7,32.83835616438356,
1979-09-01,1469000000.0,102.69609,18.65,62015129.800000004,32.66849315068493,
1979-10-01,1469000000.0,102.69609,18.65,68753102.80000001,32.50410958904109,
1979-11-01,1469000000.0,102.69609,18.65,75715674.9,32.33424657534247,
1979-12-01,1469000000.0,102.69609,18.65,82453647.9,32.16986301369863,
1980-01-01,1469000000.0,102.69609,18.65,89416220.0,32.0,
1980-02-01,1469000000.0,102.69609,18.65,86804522.17486338,31.830601092896174,
1980-03-01,1469000000.0,102.69609,18.65,84361320.98360656,31.672131147540984,
1980-04-01,1469000000.0,102.69609,18.65,81749623.15846995,31.502732240437158,
1980-05-01,1469000000.0,102.69609,18.65,79222173.65027322,31.338797814207652,
1980-06-01,1469000000.0,102.69609,18.65,76610475.82513662,31.169398907103826,
1980-07-01,1469000000.0,102.69609,18.65,74083026.31693989,31.005464480874316,
1980-08-01,1469000000.0,102.69609,18.65,71471328.49180329,30.83606557377049,
1980-09-01,1469000000.0,102.69609,18.65,68859630.66666667,30.666666666666668,
1980-10-01,1469000000.0,102.69609,18.65,66332181.158469945,30.502732240437158,
1980-11-01,1469000000.0,102.69609,18.65,63720483.333333336,30.333333333333332,
1980-12-01,1469000000.0,102.69609,18.65,61193033.82513662,30.169398907103826,
1981-01-01,1469000000.0,102.69609,18.65,58581336.0,30.0,
1981-02-01,1469000000.0,102.69609,18.65,60360383.02465753,29.83013698630137,
1981-03-01,1469000000.0,102.69609,18.65,61967264.20821918,29.676712328767124,
1981-04-01,1469000000.0,102.69609,18.65,63746311.23287671,29.506849315068493,
1981-05-01,1469000000.0,102.69609,18.65,65467969.64383562,29.34246575342466,
1981-06-01,1469000000.0,102.69609,18.65,67247016.66849315,29.172602739726027,
1981-07-01,1469000000.0,102.69609,18.65,68968675.07945205,29.008219178082193,
1981-08-01,1469000000.0,102.69609,18.65,70747722.10410959,28.838356164383562,
1981-09-01,1469000000.0,102.69609,18.65,72526769.12876712,28.66849315068493,
1981-10-01,1469000000.0,102.69609,18.65,74248427.53972602,28.504109589041096,
1981-11-01,1469000000.0,102.69609,18.65,76027474.56438357,28.334246575342465,
1981-12-01,1469000000.0,102.69609,18.65,77749132.97534247,28.16986301369863,
1982-01-01,1469000000.0,102.69609,18.65,79528180.0,28.0,
1982-02-01,1469000000.0,102.69609,18.65,76691080.72328767,27.83013698630137,
1982-03-01,1469000000.0,102.69609,18.65,74128539.44109589,27.676712328767124,
1982-04-01,1469000000.0,102.69609,18.65,71291440.16438356,27.506849315068493,
1982-05-01,1469000000.0,102.69609,18.65,68545860.21917808,27.34246575342466,
1982-06-01,1469000000.0,102.69609,18.65,65708760.94246575,27.172602739726027,
1982-07-01,1469000000.0,102.69609,18.65,62963180.99726027,27.008219178082193,
1982-08-01,1469000000.0,102.69609,18.65,60126081.720547944,26.838356164383562,
1982-09-01,1469000000.0,102.69609,18.65,57288982.443835616,26.66849315068493,
1982-10-01,1469000000.0,102.69609,18.65,54543402.498630136,26.504109589041096,
1982-11-01,1469000000.0,102.69609,18.65,51706303.22191781,26.334246575342465,
1982-12-01,1469000000.0,102.69609,18.65,48960723.27671233,26.16986301369863,
1983-01-01,1469000000.0,102.69609,18.65,46123624.0,26.0,
1983-02-01,1469000000.0,102.69609,18.65,46197138.334246576,25.83013698630137,
1983-03-01,1469000000.0,102.69609,18.65,46263538.37808219,25.676712328767124,
1983-04-01,1469000000.0,102.69609,18.65,46337052.71232877,25.506849315068493,
1983-05-01,1469000000.0,102.69609,18.65,46408195.61643836,25.34246575342466,
1983-06-01,1469000000.0,102.69609,18.65,46481709.950684935,25.172602739726027,
1983-07-01,1469000000.0,102.69609,18.65,46552852.85479452,25.008219178082193,
1983-08-01,1469000000.0,102.69609,18.65,46626367.18904109,24.838356164383562,
1983-09-01,1469000000.0,102.69609,18.65,46699881.52328767,24.66849315068493,
1983-10-01,1469000000.0,102.69609,18.65,46771024.42739726,24.504109589041096,
1983-11-01,1469000000.0,102.69609,18.65,46844538.761643834,24.334246575342465,
1983-12-01,1469000000.0,102.69609,18.65,46915681.665753424,24.16986301369863,
1984-01-01,1469000000.0,102.69609,18.65,46989196.0,24.0,
1984-02-01,1469000000.0,102.69609,18.65,44701122.42076503,23.915300546448087,
1984-03-01,1469000000.0,102.69609,18.65,42560666.49180328,23.83606557377049,
1984-04-01,1469000000.0,102.69609,18.65,40272592.91256831,23.75136612021858,
1984-05-01,1469000000.0,102.69609,18.65,38058328.158469945,23.669398907103826,
1984-06-01,1469000000.0,102.69609,18.65,35770254.57923497,23.584699453551913,
1984-07-01,1469000000.0,102.69609,18.65,33555989.82513662,23.502732240437158,
1984-08-01,1469000000.0,102.69609,18.65,31267916.245901637,23.418032786885245,
1984-09-01,1469000000.0,102.69609,18.65,28979842.666666668,23.333333333333332,
1984-10-01,1469000000.0,102.69609,18.65,26765577.912568305,23.25136612021858,
1984-11-01,1469000000.0,102.69609,18.65,24477504.333333332,23.166666666666668,
1984-12-01,1469000000.0,102.69609,18.65,22263239.579234973,23.084699453551913,
1985-01-01,1469000000.0,102.69609,18.65,19975166.0,23.0,
1985-02-01,1469000000.0,102.69609,18.65,18325287.949315067,22.915068493150685,
1985-03-01,1469000000.0,102.69609,18.65,16835075.516438358,22.838356164383562,
1985-04-01,1469000000.0,102.69609,18.65,15185197.465753425,22.753424657534246,
1985-05-01,1469000000.0,102.69609,18.65,13588541.287671234,22.671232876712327,
1985-06-01,1469000000.0,102.69609,18.65,11938663.236986302,22.586301369863016,
1985-07-01,1469000000.0,102.69609,18.65,10342007.05890411,22.504109589041096,
1985-08-01,1469000000.0,102.69609,18.65,8692129.008219179,22.41917808219178,
1985-09-01,1469000000.0,102.69609,18.65,7042250.957534248,22.334246575342465,
1985-10-01,1469000000.0,102.69609,18.65,5445594.779452056,22.252054794520546,
1985-11-01,1469000000.0,102.69609,18.65,3795716.728767125,22.167123287671235,
1985-12-01,1469000000.0,102.69609,18.65,2199060.5506849326,22.084931506849315,
1986-01-01,1469000000.0,102.69609,18.65,549182.5,22.0,
1986-02-01,1469000000.0,102.69609,18.65,5562325.630136986,21.915068493150685,
1986-03-01,1469000000.0,102.69609,18.65,10090325.876712328,21.838356164383562,
1986-04-01,1469000000.0,102.69609,18.65,15103469.006849315,21.753424657534246,
1986-05-01,1469000000.0,102.69609,18.65,19954897.842465755,21.671232876712327,
1986-06-01,1469000000.0,102.69609,18.65,24968040.97260274,21.586301369863016,
1986-07-01,1469000000.0,102.69609,18.65,29819469.808219176,21.504109589041096,
1986-08-01,1469000000.0,102.69609,18.65,34832612.93835616,21.41917808219178,
1986-09-01,1469000000.0,102.69609,18.65,39845756.06849315,21.334246575342465,
1986-10-01,1469000000.0,102.69609,18.65,44697184.90410959,21.252054794520546,
1986-11-01,1469000000.0,102.69609,18.65,49710328.03424657,21.167123287671235,
1986-12-01,1469000000.0,102.69609,18.65,54561756.86986301,21.084931506849315,
