lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,Oil_price_lag3,FDI_lag3,Poverty_rate_lag3,REER_lag3,is_covid,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
463828.3305401666,247820.08527055944,187471.88663236663,310394.54660692054,264191.17320963036,225831.5299209985,133628.0392851264,99679.20728577033,78240.4618783836,147.41220610306036,-0.8660254037844385,-0.5000000000000004,3,1996,0,1,0,1,1,1,3,0,0,19.77,716395015.8469946,16.0,109.53244797814207,18.95,596070432.5136611,16.0,109.59454464480876,0,0,0,0,0
300998.44018982456,463828.3305401666,187471.88663236663,337548.9520001835,281035.5736381973,235292.07605078665,112547.08099863394,95081.91969710383,80023.77350945341,60.556574960001385,-1.0,-1.8369701987210297e-16,3,1996,0,0,1,0,0,0,0,0,0,18.84,777543574.590164,16.0,109.5008906557377,19.36672131147541,657218991.2568307,16.0,109.56298732240435,0,0,0,0,0
191438.3561166681,300998.44018982456,187471.88663236663,318755.04228221974,278154.9035389114,235622.61517447841,137060.37804562363,97930.10838662,79816.21773931907,2.1157676255105526,-0.8660254037844386,0.5000000000000001,4,1996,0,0,1,0,1,0,0,0,0,21.045573770491803,838692133.3333334,16.0,109.46933333333334,19.77,716395015.8469946,16.0,109.53244797814207,0,0,0,0,0
236071.92929593445,191438.3561166681,187471.88663236663,242836.24186747568,276615.3942371981,239672.61872977577,55092.37650486148,98619.90922038308,78370.79328120722,25.923909732061723,-0.5000000000000004,0.8660254037844384,4,1996,0,0,1,0,0,0,2,0,0,23.18,897868157.9234973,16.0,109.43879398907104,18.84,777543574.590164,16.0,109.5008906557377,0,0,0,0,0
183287.88826423904,236071.92929593445,187471.88663236663,203599.39122561386,270574.17161289864,239323.95219909845,28415.784840466644,103790.49261505196,78633.01192753429,-2.2318004279395955,-2.4492935982947064e-16,1.0,4,1996,0,0,0,0,1,1,0,0,0,22.3,959016716.6666667,16.0,109.40723666666666,21.045573770491803,838692133.3333334,16.0,109.46933333333334,0,0,0,0,0
228206.6960801577,183287.88826423904,187471.88663236663,215855.50454677708,267305.27341449837,242718.51965308105,28477.231187909107,104952.8200207403,77054.48829735244,21.72848963091317,0.49999999999999994,0.8660254037844387,1,1997,0,0,0,0,0,0,2,1,0,21.47549668874172,1018192741.2568308,16.0,109.37669732240435,23.18,897868157.9234973,16.0,109.43879398907104,0,0,0,0,0
207722.5387667392,228206.6960801577,199932.0376184227,206405.70770371196,224620.97478559383,244406.0739976121,22488.338243126876,42597.103988339615,75948.36162965528,10.801967429966819,0.8660254037844386,0.5000000000000001,1,1997,0,0,0,0,0,0,0,0,0,20.62350993377484,1079341300.0,16.0,109.34514,22.3,959016716.6666667,16.0,109.40723666666666,0,0,0,0,0
204866.79125520797,207722.5387667392,208722.37671238376,213598.67536736827,208599.03329649105,244817.30346734417,12731.242096566037,20440.456119487113,75698.61030808162,2.4682155474268757,1.0,6.123233995736766e-17,1,1997,1,0,0,0,0,0,0,0,0,19.771523178807943,1013890605.9178082,16.01698630136986,109.59260493150686,21.47549668874172,1018192741.2568308,16.0,109.37669732240435,0,0,0,0,0
208065.27375696148,204866.79125520797,245308.98510621404,206884.86792630292,211370.18623653997,244762.5448877257,1756.0871009727034,18701.772954115797,75727.32639764209,-0.3148215183117403,0.8660254037844387,-0.4999999999999998,2,1997,1,0,0,0,1,0,0,0,0,19.00198675496689,954773849.9726028,16.03232876712329,109.8161216438356,20.62350993377484,1079341300.0,16.0,109.34514,0,0,0,0,0
249297.7160497052,208065.27375696148,219535.22401003563,220743.26035395823,213574.48402883508,245094.93913301663,24780.542319303557,22574.097515293837,75738.69609389045,1.6260027906291794,0.49999999999999994,-0.8660254037844387,2,1997,1,0,0,0,1,0,1,0,0,18.15,889323155.8904109,16.04931506849315,110.06358657534248,19.771523178807943,1013890605.9178082,16.01698630136986,109.59260493150686,0,0,0,0,0
